data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
<<<<<<< HEAD
2020-04-30T17:00:00,ITA,18149,1694,19843,81708,101551,-3106,1872,75945,27967,205463,1979217,1354901,,
=======
2020-05-06T17:00:00,ITA,15769,1333,17102,74426,91528,-6939,1444,93245,29684,214457,2310929,1549892,dc-IT-0021,dc-EN-0021
>>>>>>> 44dde7ca11b83b24840315d553018c817698452f
